,PRICE_DIFF,LSTM_B50_1_60k,LSTM_B50_2_65k,LSTM_B50_3_75k,LSTM_B50_Sharpe_14k,LSTM_B50_Dempster_55k,LSTM_B50_no_fees_1_70k,LSTM_B50_no_fees_2_65k,RNN_B50_1_70k,RNN_B50_2_60k,LSTM_B50_Stacked_N10_70k,LSTM_B50_Stacked_N20_70k,LSTM_B50_Stacked_N40_55k,SL_LSTM_B50_N30_50k,SL_RNN_B50_N30,SHOP_LSTM_B50_FEE20_68k,SHOP_RNN_B50_FEE20_60k,RECURRENT_LSTM_B50_REAL_FEE20_68k,RECURRENT_RNN_B50_REAL_FEE20_60k,RECURRENT_LSTM_B50_REAL_FEE20_SHAPRE_1k,RECURRENT_LSTM_B50_REAL_FEE20_Dempster025_1_50k,RECURRENT_LSTM_B50_REAL_FEE20_Dempster075_2_40k,RECURRENT_LSTM_B50_REAL_Stacked_adv_N20_1_59k,RECURRENT_LSTM_B50_REAL_Stacked_adv_N20_2_70k,RECURRENT_LSTM_B50_REAL_FEE20_Multi_0k,RECURRENT_LSTM_B50_REAL_FEE20_Sharpe_Sqrt,RECURRENT_LSTM_B50_REAL_FEE20_Multi_Dev_10k
0,-6868.468837999739,-0.999997556209564,-0.999999225139618,-1.0,-0.3230785727500916,-1.0,-0.991342842578888,-1.0,-0.9980064630508424,-0.9999947547912597,-1.0,-0.999997079372406,-0.9999989867210388,-0.2869147658348084,-0.3174324035644531,-1.0,-0.9999173283576962,-1.0,-0.9999173283576962,-0.2593209445476532,-0.9999691247940062,-0.9997709393501278,-0.9876543283462526,-0.9997486472129821,0.9999716877937316,-0.3452835381031036,0.9999552369117736
1,-2911.851653999765,-0.9999999403953552,-1.0,-1.0,-0.2732123136520386,-1.0,-0.99997079372406,-1.0,-0.9999998807907106,-0.999954640865326,-1.0,-0.9999993443489072,-1.0,-0.28707489371299744,-0.127983421087265,-1.0,-0.9999923706054691,-1.0,-0.9999923706054691,-0.24798478186130524,-0.9999984502792358,-0.9999989867210388,-0.9444053173065182,-0.9998727440834048,0.9999716281890868,-0.3452367186546326,0.9999551773071288
2,-4190.890500167152,-0.9985085725784302,-0.9999866485595706,-0.9999995231628418,-0.08957832306623459,-0.999805510044098,-0.9705948233604432,-1.0,-0.9999952912330626,-0.9805951118469242,-1.0,-0.9999950528144834,-1.0,-0.11011935025453568,0.06213945150375366,-0.9993602633476256,-0.999660849571228,-0.9993602633476256,-0.999660849571228,-0.07558514177799225,-0.9995117783546448,-0.9790689945220948,-0.9187318086624144,-0.9994560480117798,0.9999716281890868,-0.345052570104599,0.9999552369117736
3,-4259.705280166236,-0.9999988675117488,-1.0,-1.0,-0.11543988436460495,-0.9999999403953552,-0.9991676211357118,-1.0,-0.997671365737915,-0.8719054460525512,-1.0,0.9994677901268006,0.9554325342178344,-0.1802619844675064,-0.40017709136009216,-0.9999995827674866,-0.9982969760894777,-0.9999995827674866,-0.9982969760894777,-0.07827261835336685,-0.9999956488609314,-0.9999728202819826,-0.9607321619987491,-0.9984520673751832,0.9999716281890868,-0.3451268672943115,0.9999552369117736
4,-15201.22328833339,-0.999591052532196,-0.9999558925628662,-0.999999463558197,-0.04876134172081946,-0.9999316930770874,-0.9974840879440308,-1.0,-0.9998115897178648,-0.9767423272132872,-1.0,-0.19174148142337802,-0.9999998211860656,-0.15795096755027774,0.0032097324728965764,-0.9980499744415284,-0.927465736865997,-0.9980499744415284,-0.927465736865997,-0.05340760946273805,-0.9999492764472958,-0.9998733997344971,-0.9616898894309996,-0.9954057335853576,0.9999716877937316,-0.3451657295227051,0.9999552369117736
5,-5218.344820666593,-1.0,-1.0,-1.0,0.09132464975118636,-1.0,-0.9999990463256838,-1.0,-1.0,-0.9999982714653016,-0.920264720916748,-0.9999999403953552,0.9999984502792358,-0.4943684339523316,-0.4826171696186066,-1.0,-0.9999997019767758,-1.0,-0.9999997019767758,0.10649147629737857,-0.9999985694885254,-0.9999868273735047,-0.9092411994934082,-0.9965971708297728,0.9999716877937316,-0.3452649116516113,0.999955415725708
6,-32332.893917166624,-0.9999764561653136,-0.9999791383743286,-1.0,0.05466677993535995,-0.9999999403953552,-0.9996178150177,-1.0,-0.9972290396690368,-0.99790632724762,-0.9999995827674866,0.999999463558197,-1.0,-0.0916588380932808,-0.33953702449798584,-0.9999953508377076,-0.9933314323425294,-0.9999953508377076,-0.9933314323425294,0.07423928380012512,-0.9999977350234984,-0.9999928474426268,-0.9642568230628968,-0.9981544613838196,0.9999716877937316,-0.3457624614238739,0.9999552369117736
7,-26293.83739250025,-0.9999995827674866,-1.0,-1.0,0.4392976760864257,-0.9999999403953552,-0.9999972581863406,-0.9999982714653016,-1.0,-0.9999989867210388,1.0,-0.9999998211860656,0.9999998211860656,-0.7216378450393677,-0.7186814546585083,-0.9999997615814209,-0.9999999403953552,-0.9999997615814209,-0.9999999403953552,0.38827893137931824,-0.9997714161872862,-0.9997266530990601,-0.7791123390197755,-0.9654831290245056,0.9999708533287048,-0.3300750553607941,0.9999342560768126
8,33897.556291000335,-0.9999988675117488,-1.0,-1.0,0.4683881402015686,-0.9999999403953552,-0.9999972581863406,-1.0,-1.0,-0.9999789595603944,-0.9999855160713198,-0.999999463558197,0.2376101016998292,-0.5346269607543945,-0.3596617579460144,-0.999999463558197,-0.9999999403953552,-0.999999463558197,-0.9999999403953552,0.5389505624771118,-0.9998139739036559,-0.9999647736549376,-0.8679909706115722,-0.9845409989356992,0.9999698996543884,-0.3485861122608185,0.9999386072158812
9,42057.416953832966,0.9970486164093016,0.9756011962890626,0.9999525547027586,0.15620414912700653,0.965347409248352,0.9798718094825742,0.9959519505500792,1.0,0.9999997615814208,1.0,0.9999999403953552,0.9999999403953552,0.6351596117019653,0.8658853173255922,0.9995362758636472,1.0,0.9995362758636472,1.0,0.30597248673439026,0.9999216794967652,0.9999508261680602,0.9984230995178222,0.9997434616088866,0.9999685883522031,-0.37584814429283137,0.999926745891571
